original,checked,lemma,path,dictionary
hostia,hóstia,hoster,['./datasets/acessibilidade_2/videos/hostia.wmv'],Acessibilidades2
ginastica,ginástica,ginastico,['./datasets/acessibilidade_2/videos/ginastica.wmv'],Acessibilidades2
instruir,instruir,instruir,['./datasets/acessibilidade_2/videos/instruir.wmv'],Acessibilidades2
camisa,camisa,camisa,['./datasets/acessibilidade_2/videos/camisa.wmv'],Acessibilidades2
medalha,medalha,medalha,['./datasets/acessibilidade_2/videos/medalha.wmv'],Acessibilidades2
cem,cem,cem,['./datasets/acessibilidade_2/videos/cem.wmv'],Acessibilidades2
lenha,lenha,lenhar,['./datasets/acessibilidade_2/videos/lenha.wmv'],Acessibilidades2
pente,pente,pente,['./datasets/acessibilidade_2/videos/pente.wmv'],Acessibilidades2
queda,queda,queda,['./datasets/acessibilidade_2/videos/queda.wmv'],Acessibilidades2
robo,robô,robo,['./datasets/acessibilidade_2/videos/robo.wmv'],Acessibilidades2
engasgar,engasgar,engasgar,['./datasets/acessibilidade_2/videos/engasgar.wmv'],Acessibilidades2
melao,melão,melao,['./datasets/acessibilidade_2/videos/melao1.wmv'],Acessibilidades2
insignia,insígnia,insignio,['./datasets/acessibilidade_2/videos/insignia.wmv'],Acessibilidades2
caderno,caderno,caderno,['./datasets/acessibilidade_2/videos/caderno.wmv'],Acessibilidades2
meter,meter,meter,['./datasets/acessibilidade_2/videos/meter.wmv'],Acessibilidades2
salmos,salmos,salr,['./datasets/acessibilidade_2/videos/salmos.wmv'],Acessibilidades2
palhaco,palhaço,palhaco,['./datasets/acessibilidade_2/videos/palhaco.wmv'],Acessibilidades2
memoria,memória,memor,['./datasets/acessibilidade_2/videos/memoria.wmv'],Acessibilidades2
chefiar,chefiar,chefiar,['./datasets/acessibilidade_2/videos/chefiar.wmv'],Acessibilidades2
famoso,famoso,famoso,['./datasets/acessibilidade_2/videos/famoso.wmv'],Acessibilidades2
curto,curto,curto,['./datasets/acessibilidade_2/videos/curto.wmv'],Acessibilidades2
hospital,hospital,hospital,['./datasets/acessibilidade_2/videos/hospital.wmv'],Acessibilidades2
secreto,secreto,secreto,['./datasets/acessibilidade_2/videos/secreto.wmv'],Acessibilidades2
ilha,ilha,ilha,['./datasets/acessibilidade_2/videos/ilha.wmv'],Acessibilidades2
familia,familia,familiar,['./datasets/acessibilidade_2/videos/familia.wmv'],Acessibilidades2
chatear,chatear,chatear,['./datasets/acessibilidade_2/videos/chatear.wmv'],Acessibilidades2
bom,bom,bom,"['./datasets/acessibilidade_2/videos/bom3.wmv', './datasets/acessibilidade_2/videos/bom1.wmv', './datasets/acessibilidade_2/videos/bom2.wmv']",Acessibilidades2
anjo,anjo,anjor,['./datasets/acessibilidade_2/videos/anjo.wmv'],Acessibilidades2
juiz,juiz,juiz,['./datasets/acessibilidade_2/videos/juiz.wmv'],Acessibilidades2
empada,empada,empar,['./datasets/acessibilidade_2/videos/empada.wmv'],Acessibilidades2
chuchu,chuchu,chuchu,['./datasets/acessibilidade_2/videos/chuchu.wmv'],Acessibilidades2
hiptonizar,hiptonizar,hiptonizar,['./datasets/acessibilidade_2/videos/hiptonizar.wmv'],Acessibilidades2
afrouxar,afrouxar,afrouxar,['./datasets/acessibilidade_2/videos/afrouxar.wmv'],Acessibilidades2
opiniar,opiniar,opiniar,['./datasets/acessibilidade_2/videos/opiniar.wmv'],Acessibilidades2
bisavo,bisavó,Bisavo,['./datasets/acessibilidade_2/videos/bisavo.wmv'],Acessibilidades2
cachecol,cachecol,cachecolr,['./datasets/acessibilidade_2/videos/cachecol.wmv'],Acessibilidades2
rubrica,rubrica,rubrico,['./datasets/acessibilidade_2/videos/rubrica.wmv'],Acessibilidades2
muro,muro,muro,['./datasets/acessibilidade_2/videos/muro.wmv'],Acessibilidades2
maluco,maluco,maluco,['./datasets/acessibilidade_2/videos/maluco.wmv'],Acessibilidades2
chileno,chileno,chileno,['./datasets/acessibilidade_2/videos/chileno.wmv'],Acessibilidades2
cartao,cartão,cartao,['./datasets/acessibilidade_2/videos/cartao.wmv'],Acessibilidades2
pilotar,pilotar,pilotar,['./datasets/acessibilidade_2/videos/pilotar.wmv'],Acessibilidades2
apartamento,apartamento,apartamento,['./datasets/acessibilidade_2/videos/apartamento.wmv'],Acessibilidades2
predio,prédio,predio,"['./datasets/acessibilidade_2/videos/predio2.wmv', './datasets/acessibilidade_2/videos/predio.wmv']",Acessibilidades2
bienio,biênio,bienio,['./datasets/acessibilidade_2/videos/bienio.wmv'],Acessibilidades2
territorio,território,territorio,['./datasets/acessibilidade_2/videos/territorio.wmv'],Acessibilidades2
esquimo,esquimó,esquimo,['./datasets/acessibilidade_2/videos/esquimo.wmv'],Acessibilidades2
cuidadoso,cuidadoso,cuidadoso,['./datasets/acessibilidade_2/videos/cuidadoso.wmv'],Acessibilidades2
maniaco,maníaco,Maniaco,['./datasets/acessibilidade_2/videos/maniaco.wmv'],Acessibilidades2
curitiba,curitiba,Curitiba,['./datasets/acessibilidade_2/videos/curitiba.wmv'],Acessibilidades2
bigode,bigode,bigode,['./datasets/acessibilidade_2/videos/bigode.wmv'],Acessibilidades2
alegria,alegria,alegrio,"['./datasets/acessibilidade_2/videos/alegria1.wmv', './datasets/acessibilidade_2/videos/alegria2.wmv']",Acessibilidades2
faculdade,faculdade,Faculdade,['./datasets/acessibilidade_2/videos/faculdade.wmv'],Acessibilidades2
explorar,explorar,explorar,['./datasets/acessibilidade_2/videos/explorar.wmv'],Acessibilidades2
panela,panela,panela,['./datasets/acessibilidade_2/videos/panela.wmv'],Acessibilidades2
ofender,ofender,ofender,['./datasets/acessibilidade_2/videos/ofender.wmv'],Acessibilidades2
adjetivo,adjetivo,adjetivo,['./datasets/acessibilidade_2/videos/adjetivo.wmv'],Acessibilidades2
integrar,integrar,integrar,['./datasets/acessibilidade_2/videos/integrar.wmv'],Acessibilidades2
agasalhar,agasalhar,agasalhar,['./datasets/acessibilidade_2/videos/agasalhar.wmv'],Acessibilidades2
almocar,almoçar,almocar,['./datasets/acessibilidade_2/videos/almocar.wmv'],Acessibilidades2
principe,príncipe,Principe,['./datasets/acessibilidade_2/videos/principe.wmv'],Acessibilidades2
aquele,aquele,aquele,['./datasets/acessibilidade_2/videos/aquele.wmv'],Acessibilidades2
metido,metido,metir,['./datasets/acessibilidade_2/videos/metido.wmv'],Acessibilidades2
escorregar,escorregar,escorregar,['./datasets/acessibilidade_2/videos/escorregar.wmv'],Acessibilidades2
paulista,paulista,paulista,['./datasets/acessibilidade_2/videos/paulista.wmv'],Acessibilidades2
junto,junto,junto,['./datasets/acessibilidade_2/videos/junto.wmv'],Acessibilidades2
imundo,imundo,imur,['./datasets/acessibilidade_2/videos/imundo.wmv'],Acessibilidades2
susto,susto,sur,['./datasets/acessibilidade_2/videos/susto.wmv'],Acessibilidades2
pilar,pilar,pilar,['./datasets/acessibilidade_2/videos/pilar.wmv'],Acessibilidades2
reboque,reboque,Reboque,['./datasets/acessibilidade_2/videos/reboque.wmv'],Acessibilidades2
gaivota,gaivota,gaivoto,['./datasets/acessibilidade_2/videos/gaivota.wmv'],Acessibilidades2
cubo,cubo,cubo,['./datasets/acessibilidade_2/videos/cubo.wmv'],Acessibilidades2
comico,cômico,comico,['./datasets/acessibilidade_2/videos/comico.wmv'],Acessibilidades2
voce,você,voce,['./datasets/acessibilidade_2/videos/voce.wmv'],Acessibilidades2
k,k,k,['./datasets/acessibilidade_2/videos/k.wmv'],Acessibilidades2
ruga,ruga,ruga,['./datasets/acessibilidade_2/videos/ruga1.wmv'],Acessibilidades2
testemunha de jeova,testemunha de jeová,testemunha,['./datasets/acessibilidade_2/videos/testemunha_de_jeova.wmv'],Acessibilidades2
balsa,balsa,Balsa,['./datasets/acessibilidade_2/videos/balsa.wmv'],Acessibilidades2
brindar,brindar,brindar,['./datasets/acessibilidade_2/videos/brindar1.wmv'],Acessibilidades2
gamba,gambá,gamba,['./datasets/acessibilidade_2/videos/gamba.wmv'],Acessibilidades2
acatar,acatar,acatar,['./datasets/acessibilidade_2/videos/acatar.wmv'],Acessibilidades2
pedicure,pedicure,pedicurar,['./datasets/acessibilidade_2/videos/pedicure.wmv'],Acessibilidades2
v,v,v,['./datasets/acessibilidade_2/videos/v.wmv'],Acessibilidades2
pedagio,pedágio,pedagio,['./datasets/acessibilidade_2/videos/pedagio.wmv'],Acessibilidades2
quadro negro,quadro negro,quadro,['./datasets/acessibilidade_2/videos/quadro-negro.wmv'],Acessibilidades2
disparar,disparar,disparar,['./datasets/acessibilidade_2/videos/disparar.wmv'],Acessibilidades2
fuba,fuba,fuba,['./datasets/acessibilidade_2/videos/fuba.wmv'],Acessibilidades2
cano,cano,cano,['./datasets/acessibilidade_2/videos/cano.wmv'],Acessibilidades2
despertar,despertar,despertar,['./datasets/acessibilidade_2/videos/despertar.wmv'],Acessibilidades2
bambu,bambu,bambu,['./datasets/acessibilidade_2/videos/bambu.wmv'],Acessibilidades2
linha,linha,linha,"['./datasets/acessibilidade_2/videos/linha1.wmv', './datasets/acessibilidade_2/videos/linha2.wmv']",Acessibilidades2
aprofundar,aprofundar,aprofundar,['./datasets/acessibilidade_2/videos/aprofundar.wmv'],Acessibilidades2
lampada,lampâda,lampar,['./datasets/acessibilidade_2/videos/lampada.wmv'],Acessibilidades2
estragar,estragar,estragar,"['./datasets/acessibilidade_2/videos/estragar.wmv', './datasets/acessibilidade_2/videos/estragar2.wmv']",Acessibilidades2
massa,massa,massa,['./datasets/acessibilidade_2/videos/massa.wmv'],Acessibilidades2
limpo,limpo,Limpo,['./datasets/acessibilidade_2/videos/limpo.wmv'],Acessibilidades2
desistir,desistir,desistir,['./datasets/acessibilidade_2/videos/desistir.wmv'],Acessibilidades2
esclarecer,esclarecer,esclarecer,['./datasets/acessibilidade_2/videos/esclarecer.wmv'],Acessibilidades2
desviar,desviar,desviar,['./datasets/acessibilidade_2/videos/desviar.wmv'],Acessibilidades2
bateria,bateria,bateria,"['./datasets/acessibilidade_2/videos/bateria1.wmv', './datasets/acessibilidade_2/videos/bateria2.wmv']",Acessibilidades2
figado,fígado,figar,['./datasets/acessibilidade_2/videos/figado.wmv'],Acessibilidades2
dente,dente,dente,['./datasets/acessibilidade_2/videos/dente.wmv'],Acessibilidades2
discreto,discreto,discreto,['./datasets/acessibilidade_2/videos/discreto.wmv'],Acessibilidades2
planejar,planejar,planejar,['./datasets/acessibilidade_2/videos/planejar.wmv'],Acessibilidades2
acampamento,acampamento,acampamento,['./datasets/acessibilidade_2/videos/acampamento.wmv'],Acessibilidades2
musica,musica,musica,"['./datasets/acessibilidade_2/videos/musica2.wmv', './datasets/acessibilidade_2/videos/musica1.wmv']",Acessibilidades2
oftamologista,oftamologista,oftamologista,['./datasets/acessibilidade_2/videos/oftamologista.wmv'],Acessibilidades2
cilios,cílios,cilio,['./datasets/acessibilidade_2/videos/cilios.wmv'],Acessibilidades2
comprar,comprar,comprar,['./datasets/acessibilidade_2/videos/comprar.wmv'],Acessibilidades2
jovem,jovem,jovem,['./datasets/acessibilidade_2/videos/jovem.wmv'],Acessibilidades2
pele,pele,pele,['./datasets/acessibilidade_2/videos/pele.wmv'],Acessibilidades2
empurrar,empurrar,empurrar,['./datasets/acessibilidade_2/videos/empurrar.wmv'],Acessibilidades2
reuniao,reunião,reuniaor,['./datasets/acessibilidade_2/videos/reuniao.wmv'],Acessibilidades2
acasalar,acasalar,acasalar,['./datasets/acessibilidade_2/videos/acasalar.wmv'],Acessibilidades2
acupuntura,acupuntura,acupunturar,['./datasets/acessibilidade_2/videos/acupuntura.wmv'],Acessibilidades2
fuzilar,fuzilar,fuzilar,['./datasets/acessibilidade_2/videos/fuzilar.wmv'],Acessibilidades2
malasia,malásia,Malasia,['./datasets/acessibilidade_2/videos/malasia.wmv'],Acessibilidades2
futebol,futebol,futebol,['./datasets/acessibilidade_2/videos/futebol.wmv'],Acessibilidades2
maca,maca,maca,"['./datasets/acessibilidade_2/videos/maca_.wmv', './datasets/acessibilidade_2/videos/maca.wmv']",Acessibilidades2
transa,transa,transar,['./datasets/acessibilidade_2/videos/transa.wmv'],Acessibilidades2
tripe,tripé,tripe,['./datasets/acessibilidade_2/videos/tripe.wmv'],Acessibilidades2
afeicao,afeição,afeicao,['./datasets/acessibilidade_2/videos/afeicao.wmv'],Acessibilidades2
inverter,inverter,inverter,['./datasets/acessibilidade_2/videos/inverter.wmv'],Acessibilidades2
ano,ano,ano,"['./datasets/acessibilidade_2/videos/ano3.wmv', './datasets/acessibilidade_2/videos/ano.wmv', './datasets/acessibilidade_2/videos/ano2.wmv']",Acessibilidades2
poliglota,poliglota,poliglota,['./datasets/acessibilidade_2/videos/poliglota.wmv'],Acessibilidades2
coronel,coronel,coronel,['./datasets/acessibilidade_2/videos/coronel.wmv'],Acessibilidades2
abracadabra,abracadabra,abracadabrar,['./datasets/acessibilidade_2/videos/abracadabra.wmv'],Acessibilidades2
gluteo,glúteo,gluteor,['./datasets/acessibilidade_2/videos/gluteo.wmv'],Acessibilidades2
deficiente mental,deficiente mental,deficiente,['./datasets/acessibilidade_2/videos/deficiente-mental.wmv'],Acessibilidades2
farra,farra,farra,['./datasets/acessibilidade_2/videos/farra.wmv'],Acessibilidades2
convidar,convidar,convidar,['./datasets/acessibilidade_2/videos/convidar.wmv'],Acessibilidades2
acompanhar,acompanhar,acompanhar,"['./datasets/acessibilidade_2/videos/acompanhar1.wmv', './datasets/acessibilidade_2/videos/acompanhar2.wmv']",Acessibilidades2
uruguai,uruguai,uruguai,['./datasets/acessibilidade_2/videos/uruguai.wmv'],Acessibilidades2
prateleira,prateleira,prateleiro,['./datasets/acessibilidade_2/videos/prateleira.wmv'],Acessibilidades2
uniao,união,uniaor,['./datasets/acessibilidade_2/videos/uniao.wmv'],Acessibilidades2
engordar,engordar,engordar,['./datasets/acessibilidade_2/videos/engordar.wmv'],Acessibilidades2
comungar,comungar,comungar,['./datasets/acessibilidade_2/videos/comungar.wmv'],Acessibilidades2
vidente,vidente,vidente,['./datasets/acessibilidade_2/videos/vidente.wmv'],Acessibilidades2
redacao,redação,redacao,['./datasets/acessibilidade_2/videos/redacao.wmv'],Acessibilidades2
cunhado,cunhado,cunhar,['./datasets/acessibilidade_2/videos/cunhado.wmv'],Acessibilidades2
peteca,peteca,petecar,['./datasets/acessibilidade_2/videos/peteca.wmv'],Acessibilidades2
carnи,carnи,carnиr,['./datasets/acessibilidade_2/videos/carnИ.wmv'],Acessibilidades2
adocar,adoçar,adocar,['./datasets/acessibilidade_2/videos/adocar.wmv'],Acessibilidades2
meditar,meditar,meditar,['./datasets/acessibilidade_2/videos/meditar.wmv'],Acessibilidades2
mangueira,mangueira,Mangueira,['./datasets/acessibilidade_2/videos/mangueira.wmv'],Acessibilidades2
progredir,progredir,progredir,['./datasets/acessibilidade_2/videos/progredir.wmv'],Acessibilidades2
pioneiro,pioneiro,pioneiro,['./datasets/acessibilidade_2/videos/pioneiro.wmv'],Acessibilidades2
serrote,serrote,serrote,['./datasets/acessibilidade_2/videos/serrote.wmv'],Acessibilidades2
chateado,chateado,chatear,['./datasets/acessibilidade_2/videos/chateado.wmv'],Acessibilidades2
retocar,retocar,retocar,['./datasets/acessibilidade_2/videos/retocar.wmv'],Acessibilidades2
velocimetro,velocímetro,velocimetro,['./datasets/acessibilidade_2/videos/velocimetro.wmv'],Acessibilidades2
golpear,golpear,golpear,['./datasets/acessibilidade_2/videos/golpear.wmv'],Acessibilidades2
lustrar,lustrar,lustrar,['./datasets/acessibilidade_2/videos/lustrar.wmv'],Acessibilidades2
ambidestro,ambidestro,ambidestro,['./datasets/acessibilidade_2/videos/ambidestro.wmv'],Acessibilidades2
luneta,luneta,luneto,['./datasets/acessibilidade_2/videos/luneta.wmv'],Acessibilidades2
ilustrar,ilustrar,ilustrar,['./datasets/acessibilidade_2/videos/ilustrar.wmv'],Acessibilidades2
ebulicao,ebulição,ebulicao,['./datasets/acessibilidade_2/videos/ebulicao.wmv'],Acessibilidades2
mendigar,mendigar,mendigar,['./datasets/acessibilidade_2/videos/mendigar.wmv'],Acessibilidades2
pileque,pileque,pileque,['./datasets/acessibilidade_2/videos/pileque.wmv'],Acessibilidades2
cana de acucar,cana de açúcar,cano,['./datasets/acessibilidade_2/videos/cana-de-acucar.wmv'],Acessibilidades2
oculos,óculos,oculo,['./datasets/acessibilidade_2/videos/oculos2.wmv'],Acessibilidades2
palido,pálido,paler,['./datasets/acessibilidade_2/videos/palido.wmv'],Acessibilidades2
precario,precário,precario,['./datasets/acessibilidade_2/videos/precario.wmv'],Acessibilidades2
chupeta,chupeta,chupeta,['./datasets/acessibilidade_2/videos/chupeta.wmv'],Acessibilidades2
estatua,estátua,estatuar,['./datasets/acessibilidade_2/videos/estatua.wmv'],Acessibilidades2
lado,lado,lar,['./datasets/acessibilidade_2/videos/lado.wmv'],Acessibilidades2
lousa,lousa,lousar,['./datasets/acessibilidade_2/videos/lousa.wmv'],Acessibilidades2
seco,seco,seco,['./datasets/acessibilidade_2/videos/seco.wmv'],Acessibilidades2
anteceder,anteceder,anteceder,['./datasets/acessibilidade_2/videos/anteceder.wmv'],Acessibilidades2
manobrar,manobrar,manobrar,['./datasets/acessibilidade_2/videos/manobrar.wmv'],Acessibilidades2
geral,geral,geral,['./datasets/acessibilidade_2/videos/geral.wmv'],Acessibilidades2
topless,topless,topless,['./datasets/acessibilidade_2/videos/topless.wmv'],Acessibilidades2
finalmente,finalmente,finalmente,['./datasets/acessibilidade_2/videos/finalmente.wmv'],Acessibilidades2
medir,medir,medir,['./datasets/acessibilidade_2/videos/medir.wmv'],Acessibilidades2
romano,romano,Romano,['./datasets/acessibilidade_2/videos/romano1.wmv'],Acessibilidades2
calor,calor,calor,['./datasets/acessibilidade_2/videos/calor.wmv'],Acessibilidades2
cura,cura,cura,['./datasets/acessibilidade_2/videos/cura.wmv'],Acessibilidades2
esmalte,esmalte,esmalte,['./datasets/acessibilidade_2/videos/esmalte.wmv'],Acessibilidades2
moca,moça,mocar,['./datasets/acessibilidade_2/videos/moca.wmv'],Acessibilidades2
decisao,decisão,decisao,['./datasets/acessibilidade_2/videos/decisao.wmv'],Acessibilidades2
pontape,pontapé,pontape,['./datasets/acessibilidade_2/videos/pontape.wmv'],Acessibilidades2
bruxismo,bruxismo,bruxismo,['./datasets/acessibilidade_2/videos/bruxismo.wmv'],Acessibilidades2
fogo,fogo,fogo,['./datasets/acessibilidade_2/videos/fogo.wmv'],Acessibilidades2
lentidao,lentidão,lentidao,['./datasets/acessibilidade_2/videos/lentidao.wmv'],Acessibilidades2
ruborizar,ruborizar,ruborizar,['./datasets/acessibilidade_2/videos/ruborizar.wmv'],Acessibilidades2
batucar,batucar,batucar,['./datasets/acessibilidade_2/videos/batucar.wmv'],Acessibilidades2
mercado,mercado,mercado,['./datasets/acessibilidade_2/videos/mercado.wmv'],Acessibilidades2
espelho,espelho,espelho,['./datasets/acessibilidade_2/videos/espelho.wmv'],Acessibilidades2
matricular,matricular,matricular,['./datasets/acessibilidade_2/videos/matricular.wmv'],Acessibilidades2
injecao,injeção,injecao,['./datasets/acessibilidade_2/videos/injecao.wmv'],Acessibilidades2
obvio,obvio,obvio,['./datasets/acessibilidade_2/videos/obvio.wmv'],Acessibilidades2
amargo,amargo,amargo,['./datasets/acessibilidade_2/videos/amargo.wmv'],Acessibilidades2
torre,torre,torrer,['./datasets/acessibilidade_2/videos/torre.wmv'],Acessibilidades2
audiometria,audiometria,audiometr,['./datasets/acessibilidade_2/videos/audiometria.wmv'],Acessibilidades2
campainha,campainha,campainha,['./datasets/acessibilidade_2/videos/campainha.wmv'],Acessibilidades2
debaixo,debaixo,debaixo,['./datasets/acessibilidade_2/videos/debaixo.wmv'],Acessibilidades2
trabalheira,trabalheira,trabalheirar,['./datasets/acessibilidade_2/videos/trabalheira.wmv'],Acessibilidades2
terror,terror,terror,['./datasets/acessibilidade_2/videos/terror.wmv'],Acessibilidades2
fogao,fogão,fogao,['./datasets/acessibilidade_2/videos/fogao.wmv'],Acessibilidades2
locomover,locomover,locomover,['./datasets/acessibilidade_2/videos/locomover.wmv'],Acessibilidades2
vaso,vaso,vaso,['./datasets/acessibilidade_2/videos/vaso.wmv'],Acessibilidades2
prateado,prateado,pratear,['./datasets/acessibilidade_2/videos/prateado.wmv'],Acessibilidades2
vulgar,vulgar,vulgar,['./datasets/acessibilidade_2/videos/vulgar.wmv'],Acessibilidades2
aspirar,aspirar,aspirar,['./datasets/acessibilidade_2/videos/aspirar.wmv'],Acessibilidades2
folha,folha,Folha,"['./datasets/acessibilidade_2/videos/folha2.wmv', './datasets/acessibilidade_2/videos/folha1.wmv']",Acessibilidades2
conhecer,conhecer,conhecer,['./datasets/acessibilidade_2/videos/conhecer.wmv'],Acessibilidades2
laqueadura de trompas,laqueadura de trompas,laqueadura,['./datasets/acessibilidade_2/videos/laqueadura_de_trompas.wmv'],Acessibilidades2
almejar,almejar,almejar,['./datasets/acessibilidade_2/videos/almejar.wmv'],Acessibilidades2
horrivel,horrível,horrivel,['./datasets/acessibilidade_2/videos/horrivel.wmv'],Acessibilidades2
desencaminhar,desencaminhar,desencaminhar,['./datasets/acessibilidade_2/videos/desencaminhar.wmv'],Acessibilidades2
apavorado,apavorado,apavorar,['./datasets/acessibilidade_2/videos/apavorado.wmv'],Acessibilidades2
castigar,castigar,castigar,['./datasets/acessibilidade_2/videos/castigar.wmv'],Acessibilidades2
fotografar,fotografar,fotografar,"['./datasets/acessibilidade_2/videos/fotografar1.wmv', './datasets/acessibilidade_2/videos/fotografar2.wmv']",Acessibilidades2
recordacao,recordação,recordacao,['./datasets/acessibilidade_2/videos/recordacao.wmv'],Acessibilidades2
educado,educado,educar,['./datasets/acessibilidade_2/videos/educado.wmv'],Acessibilidades2
lamentar,lamentar,lamentar,['./datasets/acessibilidade_2/videos/lamentar.wmv'],Acessibilidades2
gostar,gostar,gostar,['./datasets/acessibilidade_2/videos/gostar.wmv'],Acessibilidades2
descontar,descontar,descontar,['./datasets/acessibilidade_2/videos/descontar.wmv'],Acessibilidades2
bruto,bruto,bruto,['./datasets/acessibilidade_2/videos/bruto.wmv'],Acessibilidades2
fio eletrico,fio elétrico,fio,['./datasets/acessibilidade_2/videos/fio-eletrico1.wmv'],Acessibilidades2
precipitar,precipitar,precipitar,['./datasets/acessibilidade_2/videos/precipitar.wmv'],Acessibilidades2
acumular,acumular,acumular,['./datasets/acessibilidade_2/videos/acumular.wmv'],Acessibilidades2
brasilia,brasília,brasilia,['./datasets/acessibilidade_2/videos/brasilia.wmv'],Acessibilidades2
inclinar,inclinar,inclinar,['./datasets/acessibilidade_2/videos/inclinar.wmv'],Acessibilidades2
mudar,mudar,mudar,"['./datasets/acessibilidade_2/videos/mudar2.wmv', './datasets/acessibilidade_2/videos/mudar3.wmv', './datasets/acessibilidade_2/videos/mudar1.wmv']",Acessibilidades2
ondulado,ondulado,ondular,['./datasets/acessibilidade_2/videos/ondulado.wmv'],Acessibilidades2
verniz,verniz,verniz,['./datasets/acessibilidade_2/videos/verniz.wmv'],Acessibilidades2
austria,áustria,austr,['./datasets/acessibilidade_2/videos/austria.wmv'],Acessibilidades2
mancha,mancha,mancho,['./datasets/acessibilidade_2/videos/mancha.wmv'],Acessibilidades2
doce,doce,doce,['./datasets/acessibilidade_2/videos/doce.wmv'],Acessibilidades2
boxe,boxe,boxe,['./datasets/acessibilidade_2/videos/boxe.wmv'],Acessibilidades2
forno,forno,forno,['./datasets/acessibilidade_2/videos/forno.wmv'],Acessibilidades2
aguardente,aguardente,aguardente,['./datasets/acessibilidade_2/videos/aguardente.wmv'],Acessibilidades2
programa,programa,programa,"['./datasets/acessibilidade_2/videos/programa.wmv', './datasets/acessibilidade_2/videos/programa2.wmv']",Acessibilidades2
sopa,sopa,sopa,['./datasets/acessibilidade_2/videos/sopa.wmv'],Acessibilidades2
administracao,administração,administracao,['./datasets/acessibilidade_2/videos/administracao.wmv'],Acessibilidades2
vice,vice,vice,"['./datasets/acessibilidade_2/videos/vice1.wmv', './datasets/acessibilidade_2/videos/vice2.wmv']",Acessibilidades2
persiana,persiana,persiano,['./datasets/acessibilidade_2/videos/persiana.wmv'],Acessibilidades2
marco,marco,marco,['./datasets/acessibilidade_2/videos/marco.wmv'],Acessibilidades2
farejar,farejar,farejar,['./datasets/acessibilidade_2/videos/farejar.wmv'],Acessibilidades2
maquina de costurar,maquina de costurar,maquina,['./datasets/acessibilidade_2/videos/maquina_de_costurar.wmv'],Acessibilidades2
massagem,massagem,massagem,['./datasets/acessibilidade_2/videos/massagem.wmv'],Acessibilidades2
anulado,anulado,anular,['./datasets/acessibilidade_2/videos/anulado.wmv'],Acessibilidades2
multiplicar,multiplicar,multiplicar,['./datasets/acessibilidade_2/videos/multiplicar.wmv'],Acessibilidades2
ganhar,ganhar,ganhar,['./datasets/acessibilidade_2/videos/ganhar.wmv'],Acessibilidades2
educar,educar,educar,['./datasets/acessibilidade_2/videos/educar.wmv'],Acessibilidades2
bambolear,bambolear,bambolear,['./datasets/acessibilidade_2/videos/bambolear.wmv'],Acessibilidades2
amarrar,amarrar,amarrar,['./datasets/acessibilidade_2/videos/amarrar.wmv'],Acessibilidades2
segunda feira,segunda feira,segundo,['./datasets/acessibilidade_2/videos/segunda-feira.wmv'],Acessibilidades2
magoar,magoar,magoar,['./datasets/acessibilidade_2/videos/magoar.wmv'],Acessibilidades2
macio,macio,Macio,['./datasets/acessibilidade_2/videos/macio.wmv'],Acessibilidades2
nausea,náusea,em ausea,['./datasets/acessibilidade_2/videos/nausea.wmv'],Acessibilidades2
secretario,secretário,secretario,['./datasets/acessibilidade_2/videos/secretario.wmv'],Acessibilidades2
urso,urso,urso,"['./datasets/acessibilidade_2/videos/urso2.wmv', './datasets/acessibilidade_2/videos/urso.wmv']",Acessibilidades2
churrasqueira,churrasqueira,churrasqueira,['./datasets/acessibilidade_2/videos/churrasqueira.wmv'],Acessibilidades2
apontar,apontar,apontar,"['./datasets/acessibilidade_2/videos/apontar1.wmv', './datasets/acessibilidade_2/videos/apontar2.wmv']",Acessibilidades2
lobo,lobo,lobo,['./datasets/acessibilidade_2/videos/lobo.wmv'],Acessibilidades2
miseria,miséria,miserio,['./datasets/acessibilidade_2/videos/miseria.wmv'],Acessibilidades2
contato,contato,contato,['./datasets/acessibilidade_2/videos/contato.wmv'],Acessibilidades2
contra,contra,contra,['./datasets/acessibilidade_2/videos/contra.wmv'],Acessibilidades2
intencao,intenção,intencao,['./datasets/acessibilidade_2/videos/intencao.wmv'],Acessibilidades2
herpes,herpes,herpes,['./datasets/acessibilidade_2/videos/herpes.wmv'],Acessibilidades2
provavel,provável,provavel,['./datasets/acessibilidade_2/videos/provavel.wmv'],Acessibilidades2
perseguicao,perseguição,perseguicao,['./datasets/acessibilidade_2/videos/perseguicao.wmv'],Acessibilidades2
inimigo,inimigo,inimigo,['./datasets/acessibilidade_2/videos/inimigo.wmv'],Acessibilidades2
impressao digital,impressão digital,impressao,['./datasets/acessibilidade_2/videos/impressao_digital.wmv'],Acessibilidades2
listagem,listagem,listagem,['./datasets/acessibilidade_2/videos/listagem.wmv'],Acessibilidades2
enviar,enviar,enviar,"['./datasets/acessibilidade_2/videos/enviar1.wmv', './datasets/acessibilidade_2/videos/enviar3.wmv', './datasets/acessibilidade_2/videos/enviar2.wmv']",Acessibilidades2
estados unidos,estados unidos,Estados,['./datasets/acessibilidade_2/videos/estados-unidos.wmv'],Acessibilidades2
banho,banho,banho,['./datasets/acessibilidade_2/videos/banho.wmv'],Acessibilidades2
nevoeiro,nevoeiro,nevoeiro,['./datasets/acessibilidade_2/videos/nevoeiro.wmv'],Acessibilidades2
